#mammos csv v1
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,
composition,Tc_sim,Tc_sim_nemad,Tc_sim_dftv2,Tc_sim_spin,Tc_sim_re_free,Tc_exp,Tc_exp_ds1ds2,Tc_exp_re_free,Tc_exp_dftv2,Tc_exp_literature,Tc_delta,source_sim_target,source_exp_target,contains_rare_earth,pair_exists,use_for_emb,delta_info
"(Gd,Zr)(Fe,Mo,Zr)11.5",,,,,,475.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Gd0.2La0.2Nd0.2Sm0.2Y0.2)MnO3,,,,,,61.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Gd0.54Zr0.46)(Fe9.88Mo1.50Zr0.13),,,,,,475.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Gd0.5Sc0.5)60Al15(Co0.5Ni0.5)25,,,,,,37.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Gd0.667Sc0.333)60Al20Co20,,,,,,66.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Gd0.6Sc0.4)55Al20(Co0.6Ni0.4)25,,,,,,51.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Gd0.6Sc0.4)60Al15(Co0.6Cu0.4)25,,,,,,58.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Gd0.6Sc0.4)60Al15(Co0.6Ni0.4)25,,,,,,58.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Gd0.6Sc0.4)65Al10(Co0.6Ni0.4)25,,,,,,68.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Gd0.7Sc0.3)60Al15(Co0.7Ni0.3)25,,,,,,77.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Gd0.80Zr0.20)(Fe10.1Mo1.38Zr0.06),,,,,,456.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Gd0.89Zr0.11)(Fe9.99Mo1.11),,,,,,497.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Gd0.8Sc0.2)60Al15(Co0.8Ni0.2)25,,,,,,93.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Gd0.95Ho0.05)5Si4,,,,,,320.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Gd4Co3)85B15,,,,,,202.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Gd4Co3)90B10,,,,,,207.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(Gd4Co3)95B5,,,,,,211.5,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
"(K,Mn)BaCd2As2",,,,,,16.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,False,False,False,exp-sim
"(La,Y)0.75Ca0.25MnO3",,,,,,130.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
"(La,Y)0.7Ca0.3MnO3",,,,,,60.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(La0.1Ce0.9)2Fe14B,,,,,,431.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(La0.25Nd0.75)0.7Ca0.3MnO3,,,,,,198.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(La0.25Pr0.75)0.7Ca0.3MnO3,,,,,,110.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(La0.2Ce0.8)2Fe14B,,,,,,435.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(La0.33Sm0.67)0.67Sr0.24Ba0.09MnO3,,,,,,125.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(La0.33Sm0.67)0.67Sr0.27Ba0.06MnO3,,,,,,142.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(La0.33Sm0.67)0.67Sr0.30Ba0.03MnO3,,,,,,163.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(La0.33Sm0.67)0.67Sr0.32Ba0.01MnO3,,,,,,178.0,,,,,,Tc_sim not available in any source,Tc_exp available in: Nemad,True,False,False,exp-sim
(La0.33Sm0.67)0.67Sr0.33MnO3,205.0,205.0,,,,,,,,,,Tc_sim available in: Nemad,Tc_exp not available in any source,True,False,False,exp-sim
